stee,source,title,desc,when,,,location,Price,Special Info,Instructor
136,The Center for Continuing Ed,SAT Test Prep,"9/09/2025""“11/04/2025","6:30 PM""“8:00 PM","Group SAT strategy, practice tests, math & verbal, at MHS","Evangelista, Sue Ellen","Mamaroneck High School Palmer Building, Room 122",350,https://registration.xendirect.com/lmcce/courseDisplay.cfm?schID=4916,"Evangelista, Sue Ellen"
137,The Center for Continuing Ed,History Happy Hour: Medieval Curiosities,9/10/2025,"5:30 PM""“6:30 PM",Explore oddities of medieval culture; online Zoom lecture,"Axen, Christine",Online (Zoom),0,https://registration.xendirect.com/lmcce/courseDisplay.cfm?schID=4989,"Axen, Christine"
138,The Center for Continuing Ed,Spanish Conversation,"9/15/2025""“12/08/2025","9:00 AM""“11:00 AM",Advanced Spanish conversation for fluency,"Tesan, Esther",Online (Zoom),408,https://registration.xendirect.com/lmcce/courseDisplay.cfm?schID=4907,"Tesan, Esther"
139,The Center for Continuing Ed,"Fun with Mixed Arts (Grades K""“5)","9/15/2025""“11/10/2025","3:15 PM""“4:15 PM","Kids' art & crafts, slime, mosaics, mug painting",Plaster Palace,"Mamaroneck Avenue Elementary, ART ROOM",292,https://registration.xendirect.com/lmcce/courseDisplay.cfm?schID=4944,Plaster Palace
140,The Center for Continuing Ed,"Legos and Stories with Ms. Brennan (Grades K""“2)","9/15/2025""“11/10/2025","3:15 PM""“4:15 PM",LEGO creations + storytelling for young children (Spanish/English),"Brennan, Kelly",Mamaroneck Avenue Elementary School,295,https://registration.xendirect.com/lmcce/courseDisplay.cfm?schID=4976,"Brennan, Kelly"
141,The Center for Continuing Ed,"Vibe Coding (Grades 3""“5)","9/15/2025""“11/10/2025","3:15 PM""“4:15 PM","STEM, coding fundamentals, kids collaborative project",TBA,Online / School,275,https://registration.xendirect.com/lmcce/courseDisplay.cfm?schID=4975,TBA
142,The Center for Continuing Ed,Spanish Upper Intermediate,"9/15/2025""“12/08/2025","11:15 AM""“12:15 PM","Spanish class, upper intermediate level, grammar/vocab/conversation","Tesan, Esther",Online (Zoom),338,https://registration.xendirect.com/lmcce/courseDisplay.cfm?schID=4906,"Tesan, Esther"
143,The Center for Continuing Ed,German Intermediate,"9/15/2025""“12/08/2025","12:30 PM""“1:30 PM",German language immersion for intermediate students,"Leissl, Angelika",Online (Zoom),338,https://registration.xendirect.com/lmcce/courseDisplay.cfm?schID=4900,"Leissl, Angelika"
144,The Center for Continuing Ed,Spanish Upper Advanced,"9/16/2025""“12/08/2025","10:00 AM""“11:00 AM","Advanced Spanish reading, discussion, media","Tesan, Esther",Online (Zoom),338,https://registration.xendirect.com/lmcce/courseDisplay.cfm?schID=4908,"Tesan, Esther"
145,The Center for Continuing Ed,Drawing for Beginners: Seeing Through Drawing,"9/16/2025""“11/04/2025","10:00 AM""“12:00 PM","Drawing skills from observation""”composition and techniques","Schmitt, Barbara","Larchmont Temple, Room 1",210,https://registration.xendirect.com/lmcce/courseDisplay.cfm?schID=4956,"Schmitt, Barbara"
146,The Center for Continuing Ed,French Conversation,"9/16/2025""“12/08/2025","1:30 PM""“2:30 PM",Conversational French for advanced students,"Sun, Kathy",Online (Zoom),338,https://registration.xendirect.com/lmcce/courseDisplay.cfm?schID=4962,"Sun, Kathy"
147,The Center for Continuing Ed,Walking Meditation Workshop,9/16/2025,"5:00 PM""“6:00 PM","Mindfulness through movement""”guided walking meditation","Orwasher, Nicki",Sheldrake Environmental Center,30,https://registration.xendirect.com/lmcce/courseDisplay.cfm?schID=4985,"Orwasher, Nicki"
148,The Center for Continuing Ed,Watercolor: Open Level,"9/16/2025""“12/01/2025","1:00 PM""“3:00 PM",Watercolor painting at all levels,"Cotnoir, Bonnell","Larchmont Temple, Room 2",235,https://registration.xendirect.com/lmcce/courseDisplay.cfm?schID=4955,"Cotnoir, Bonnell"
149,The Center for Continuing Ed,"Chess (Grades 1""“5)","9/16/2025""“11/10/2025","3:15 PM""“4:15 PM",After-school chess coaching,Check Mates NY,Mamaroneck Avenue Elementary School,285,https://registration.xendirect.com/lmcce/courseDisplay.cfm?schID=4951,Check Mates NY
150,The Center for Continuing Ed,"Micro:bit Magic ""“ Intro to Coding for Young Innovators (Grades 4""“5)","9/16/2025""“11/10/2025","3:15 PM""“4:15 PM","Intro coding workshop, hands-on logic & sensors w/Micro:bit","Targa, Tony",Mamaroneck Avenue Elementary School,300,https://registration.xendirect.com/lmcce/courseDisplay.cfm?schID=4983,"Targa, Tony"
151,The Center for Continuing Ed,"Mini Makers: Island Adventure (Grades K""“2)","9/16/2025""“11/10/2025","3:15 PM""“4:15 PM",STEM and creativity games/projects for young students,TBA,Mamaroneck Avenue Elementary School,275,https://registration.xendirect.com/lmcce/courseDisplay.cfm?schID=4977,TBA
152,The Center for Continuing Ed,"Stop Motion Stories with Ms. Brennan (Grades 2""“5)","9/16/2025""“11/10/2025","3:15 PM""“4:15 PM",After-school digital storytelling & stop motion,"Brennan, Kelly",Mamaroneck Avenue Elementary School,295,https://registration.xendirect.com/lmcce/courseDisplay.cfm?schID=4978,"Brennan, Kelly"
153,The Center for Continuing Ed,German Advanced,"9/16/2025""“12/08/2025","1:30 PM""“2:30 PM",Advanced German for fluent/near-fluent speakers,"Leissl, Angelika",Online (Zoom),338,https://registration.xendirect.com/lmcce/courseDisplay.cfm?schID=4901,"Leissl, Angelika"
154,The Center for Continuing Ed,,,,,,,,,
155,The Center for Continuing Ed,Spanish for Seniors,"9/17/2025""“12/08/2025","10:00 AM""“11:00 AM","Spanish class designed for seniors, all levels welcome","Tesan, Esther",Online (Zoom),315,https://registration.xendirect.com/lmcce/courseDisplay.cfm?schID=4910,"Tesan, Esther"
156,The Center for Continuing Ed,"Ceramics & Sculpture Arts with Slavin Studios (Grades K""“5)","9/17/2025""“11/10/2025","3:15 PM""“4:15 PM",Kids' after-school ceramics & sculpture education,Slavin Studios,Mamaroneck Avenue Elementary School,320,https://registration.xendirect.com/lmcce/courseDisplay.cfm?schID=4952,Slavin Studios
157,The Center for Continuing Ed,"LEGO Robotics: SPIKE Essentials (Grades 2""“5)","9/17/2025""“11/10/2025","3:15 PM""“4:15 PM","LEGO robotics engineering, hands-on STEM",TBA,Mamaroneck Avenue Elementary School,330,https://registration.xendirect.com/lmcce/courseDisplay.cfm?schID=4980,TBA
158,The Center for Continuing Ed,"Mad Science: Junior Explorers (Grades K""“2)","9/17/2025""“11/10/2025","3:15 PM""“4:15 PM","Science enrichment, hands-on experiments for kids",Mad Science,Mamaroneck Avenue Elementary School,300,https://registration.xendirect.com/lmcce/courseDisplay.cfm?schID=4979,Mad Science
159,The Center for Continuing Ed,"Yoga (Grades K""“2)","9/17/2025""“11/10/2025","3:15 PM""“4:15 PM","Relaxation, stretching, mindfulness for young children",TBA,Mamaroneck Avenue Elementary School,230,https://registration.xendirect.com/lmcce/courseDisplay.cfm?schID=4950,TBA
160,The Center for Continuing Ed,Spanish Beyond Beginner,"9/17/2025""“12/08/2025","11:15 AM""“12:15 PM",Spanish at early intermediate level,"Tesan, Esther",Online (Zoom),338,https://registration.xendirect.com/lmcce/courseDisplay.cfm?schID=4909,"Tesan, Esther"
161,The Center for Continuing Ed,Spanish Advanced,"9/18/2025""“12/08/2025","10:00 AM""“11:00 AM",High-level Spanish conversational fluency,"Tesan, Esther",Online (Zoom),338,https://registration.xendirect.com/lmcce/courseDisplay.cfm?schID=4911,"Tesan, Esther"
162,The Center for Continuing Ed,French Intermediate 1,"9/18/2025""“12/08/2025","2:00 PM""“3:00 PM","Intermediate French, grammar and conversation","Sun, Kathy",Online (Zoom),338,https://registration.xendirect.com/lmcce/courseDisplay.cfm?schID=4960,"Sun, Kathy"
163,The Center for Continuing Ed,"Cooking (Grades K""“5)","9/18/2025""“11/10/2025","3:15 PM""“4:15 PM",Hands-on after-school kids cooking lessons,TBA,Mamaroneck Avenue Elementary School,320,https://registration.xendirect.com/lmcce/courseDisplay.cfm?schID=4946,TBA
164,The Center for Continuing Ed,"Google Drive: Docs & Slides with Ms. Brennan (Grades 3""“5)","9/18/2025""“11/10/2025","3:15 PM""“4:15 PM","Google tools basics, docs & slides projects","Brennan, Kelly",Mamaroneck Avenue Elementary School,215,https://registration.xendirect.com/lmcce/courseDisplay.cfm?schID=4981,"Brennan, Kelly"
165,The Center for Continuing Ed,,,,,,,,,
166,The Center for Continuing Ed,"Piano (Grades K""“2)","9/18/2025""“11/10/2025","3:15 PM""“4:15 PM",Introductory piano and music theory for young children,TBA,Mamaroneck Avenue Elementary School,210,https://registration.xendirect.com/lmcce/courseDisplay.cfm?schID=4948,TBA
167,The Center for Continuing Ed,"Sewing: Llama Drama (Grades 1""“5)","9/18/2025""“11/10/2025","3:15 PM""“4:15 PM","Beginner sewing, fun crafts & textiles for kids",TBA,Mamaroneck Avenue Elementary School,280,https://registration.xendirect.com/lmcce/courseDisplay.cfm?schID=4949,TBA
168,The Center for Continuing Ed,"Sports and Games (Grades 2""“5)","9/18/2025""“11/10/2025","3:15 PM""“4:15 PM","Physical activity, teamwork, games for students",TBA,Mamaroneck Avenue Elementary School,190,https://registration.xendirect.com/lmcce/courseDisplay.cfm?schID=4947,TBA
169,The Center for Continuing Ed,French Intermediate II,"9/18/2025""“12/08/2025","12:30 PM""“1:30 PM",Upper-level intermediate French,"Sun, Kathy",Online (Zoom),338,https://registration.xendirect.com/lmcce/courseDisplay.cfm?schID=4961,"Sun, Kathy"
170,The Center for Continuing Ed,Spanish Advanced Beginner,"9/19/2025""“12/08/2025","11:15 AM""“12:15 PM",Spanish for advanced beginners,"Tesan, Esther",Online (Zoom),338,https://registration.xendirect.com/lmcce/courseDisplay.cfm?schID=4912,"Tesan, Esther"
171,The Center for Continuing Ed,Canasta: Strategy and Supervised Play - Daytime,"9/22/2025""“11/03/2025","11:00 AM""“12:30 PM","Intermediate canasta: strategy, gameplay, supervision","Meadow, Jamie","Larchmont Temple, Jacobson",180,https://registration.xendirect.com/lmcce/courseDisplay.cfm?schID=4923,"Meadow, Jamie"
172,The Center for Continuing Ed,Canasta for Beginners - Daytime,"9/22/2025""“11/03/2025","1:00 PM""“2:30 PM",Learn canasta step by step for new players,"Meadow, Jamie","Larchmont Temple, Jacobson",180,https://registration.xendirect.com/lmcce/courseDisplay.cfm?schID=4922,"Meadow, Jamie"
173,The Center for Continuing Ed,French Advanced Beginner,"9/29/2025""“12/08/2025","12:25 PM""“1:55 PM","French: grammar, vocabulary, pronunciation, small group","Sun, Kathy","Larchmont Temple, Room 2",340,https://registration.xendirect.com/lmcce/courseDisplay.cfm?schID=4928,"Sun, Kathy"
174,The Center for Continuing Ed,French Beginner,"9/29/2025""“12/08/2025","2:00 PM""“3:30 PM","Beginner's French, foundational grammar, conversation","Sun, Kathy","Larchmont Temple, Room 2",340,https://registration.xendirect.com/lmcce/courseDisplay.cfm?schID=4920,"Sun, Kathy"
175,The Center for Continuing Ed,American Lives: Public Servants,"9/30/2025""“12/02/2025","12:30 PM""“2:00 PM",Explore U.S. public servants through literature & discussion (multi-week),"Blank, Leslie",Online (Zoom),275,https://registration.xendirect.com/lmcce/courseDisplay.cfm?schID=4897,"Blank, Leslie"
176,The Center for Continuing Ed,,,,,,,,,
177,The Center for Continuing Ed,Getting to the Heart of It: A Creative Writing Workshop,"9/30/2025""“11/04/2025","1:00 PM""“3:00 PM","Creative writing for all levels, storytelling + feedback","Ralston Seife, Amy",Online (Zoom),204,https://registration.xendirect.com/lmcce/courseDisplay.cfm?schID=4937,"Ralston Seife, Amy"
178,The Center for Continuing Ed,Abstract Acrylic Painting: Still Life,"9/30/2025""“11/10/2025","3:30 PM""“5:30 PM","Hands-on acrylics, techniques for still life painting","Williams, Paula",Mamaroneck Avenue Elementary School,330,https://registration.xendirect.com/lmcce/courseDisplay.cfm?schID=4954,"Williams, Paula"
179,The Center for Continuing Ed,Stand Up Comedy!,"9/30/2025""“10/21/2025","7:00 PM""“8:30 PM","Learn and perform stand-up comedy""”constructing a set","Fitzgerald, Kevin",Online (Zoom),140,https://registration.xendirect.com/lmcce/courseDisplay.cfm?schID=4992,"Fitzgerald, Kevin"
180,The Center for Continuing Ed,Pickleball - Intermediate & Supervised Play,"9/30/2025""“12/10/2025","2:30 PM""“4:00 PM","Pickleball for intermediate players, coaching, open play","Hogan, John","Harbor Island Park, Larchmont",210,https://registration.xendirect.com/lmcce/courseDisplay.cfm?schID=4913,"Hogan, John"
181,The Center for Continuing Ed,Kykuit,10/3/2025,"10:00 AM""“12:00 PM",Guided exterior/interior tour of Rockefeller estate in Hudson Valley,,The Rockefeller Estate: Classic Tour,60,https://registration.xendirect.com/lmcce/courseDisplay.cfm?schID=4993,
