,Unnamed: 0,event,link,description,when,location,price,target_age,organization
1,1,BURGER NIGHT!,https://www.marloweales.com/hghg,Thursdays are burger night! Get a single smash burger and a mug pour (any beer with a mug price) for $20!,2025-11-20T00:00:00,"139 Hoyt Ave, Suite A Mamaroneck, NY 10543",$20,adults,Marlowe Artisanal Ales
2,2,VINYL NIGHT,https://www.marloweales.com/hghg,Bring your favorite vinyl and be in the running to win a prize!,2025-03-20T00:00:00,"139 Hoyt Ave, Suite A Mamaroneck, NY 10543",,adults,Marlowe Artisanal Ales
0,0,Shop Larchmont Tote Bag,https://business.larchmontchamber10538.org/ap/Events/Register/8EFVkWjhOCRC7,Show your pride in Larchmont with this custom-designed tote! For your daily shopping or schlepping and makes a fun gift bag! Support our local business community through the purchase of this re-usable cotton tote bag! Proceeds go toward programs that support our local businesses.,2025-01-01 - 2025-12-31,Larchmont,$5,adults,Larchmont Chamber of Commerce
1,1,2025 Holiday Sponsorships,https://business.larchmontchamber10538.org/events/Details/2025-holiday-sponsorships-1522705?sourceTypeId=Website,"Be part of our largest community event of the year! Join fellow members in sponsoring the Larchmont Chamber's largest community event of the year! Don't miss this opportunity to promote your business, engage your customers and create goodwill with the community. This event is reliant on the support of sponsorships and we know when we all show up together, great things happen! Explore the new and returning options and register now! Holiday Shopper's Passport:Kicking off on Small Business Saturday and lasting one week, participating businesses can list a promotion or offer on the printed passport. Participating locations can also be a distribution center for shoppers to get the passport and earn a sticker every time they make a purchase. When a shopper gets two stickers during the designated week, they turn in the card to the event sponsor and get rewarded with a prize. The kick-off on Nov. 29 will be supported by free trolley rides from noon - 4 pm thanks to the sponsorship of Anna & Jack's Treehouse. This event is open to ALL types of businesses and promotes shopping locally for great holiday gifts. Sign up online. If you don't have a brick-and-mortar location and want to discuss options, contact ginaproia@outlook.com. Holiday Dream Home Gingerbread Contest:Our nonprofit members will compete in a gingerbread house contest in hopes of winning one of three cash prizes. The nonprofit teams will be guided by a professional coach. Great opportunity for our service-based businesses to be part of the holiday events! Designers, architects, engineers, painters, contractors, etc... this one's for YOU! This new event is sponsored by Julie B. Fee Sotheby's and Chase! Sign up online. Holiday Stroll:Be part of this series of festive fun all through town where the community is invited to stroll, shop, sample treats and engage in holiday activities in business locations and outdoors in the business districts. Sponsors can choose to support the event overall and benefit from branding and promotion, without having to activate a Stroll activity, or you can sponsor a specific activity on the Stroll and have more direct connection with the community. This daytime event will be anchored by our returning horse-drawn carriages offering rides through town thanks to sponsorship by Houlihan Lawrence. This is a NEW activity and we are open to discussing ideas that suit your business if the below options don't fit. But, act fast. New ideas will only be considered in October. Contact Gina Proia, ginaproia@outlook.com to register for a Holiday Stroll activity.",2025-11-29 - 2025-12-06,Larchmont,,"adults, businesses, non-profits",Larchmont Chamber of Commerce
0,0,2025 after school workshops \ MIXED MEDIA fall session 2 \ grades 2 - 6,https://app.getoccasion.com/p/n/V5dg9XFV,"THURSDAYS 3:30 - 5p | grades 2 through 6 * this class is strictly for ages 7 - 11 FALL SESSION 1 - 6 weeks thursdays: oct 30 - dec 11 * there is no class on nov 27 the perfect way to unwind and get creative after school! our after school art workshops explore all mediums including painting, pottery, drawing, mixed media, wet clay, mosaics & more!",2025-11-20T15:30:00,"118 W. Boston Post Road, Mamaroneck, NY 10543",50% deposit due at registration. the balance will be collected one week before class starts.,7-11,MADE: My Art and Design
1,1,DROP-OFF WORKSHOP | Thanksgiving mini-camp,https://app.getoccasion.com/p/n/kfdmQdn2,"Kids will choose between several Thanksgiving themed mosaics (pumpkin spice donut, pie, turkey, & others), and then will create a fall holiday canvas to display at home on Thanksgiving day!",2025-11-27T14:00:00,"118 W. Boston Post Road, Mamaroneck, NY 10543",$90.32,grade 1 and up,MADE: My Art and Design
0,0,Kutir Restaurant Ribbon Cutting,/events-calendar/kutir-restaurant-ribbon-cutting,"Join us as we welcome the newest member of the community - Kutir - A Modern Indian Restaurant! The ribbon cutting and opening will be on November 20th, 2025 at 4pm! The setting is charming, the host is great and the food will delight!",2025-11-20,Kutir Restaurant,,adults,Mamaroneck Chamber of Commerce
1,1,Drinks & Development at Enzo's,/events-calendar/drinks-development-at-enzos,Business networking at another great Chamber member establishment/ Enzo’s(451 Mamaroneck Avenue) from 5-6:30pm as we continue our series of Chamber 90-minute happy hours….a great way to meet other business professionals while supporting a Chamber member business.. (Buy Your Own) Bring cash and make the bartender happy. Bring a prospective chamber member and make us all happy!,2025-11-24,Enzo's Restaurant,,adults,Mamaroneck Chamber of Commerce
2,2,Annual Chamber Holiday Party,/events-calendar/annual-chamber-holiday-party,"Honoring Member Business Success Milestones with a visit from the Teal Santa! $100 per ticket includes a fabulous Buffet, unlimited wine & beer, cash bar for cocktails.",2025-12-11,Nonna Carolla,$100 per ticket,adults,Mamaroneck Chamber of Commerce
3,3,"General Member Meeting: Topic ""What Can AI Mean for your Business?""",/events-calendar/general-member-meeting-topic-business-success-c8a3s-ntcy4,"Our featured speaker will be Kathy D’Agostino, founder of Win at Business.AI. With 20+ years in training and leadership development, Kathy specializes in making AI accessible and practical for small business owners and professionals. She’ll share how AI can streamline work, cut costs, and give your business an edge—without the tech jargon.” In the White Room 707 Fenimore Road… 6-7:30pm",2025-11-17,The White Room,$10 for Chamber Members/$20 for Non-Members,adults,Mamaroneck Chamber of Commerce
4,4,The Dog Stop Ribbon Cutting,/events-calendar/the-dog-stop-ribbon-cutting,"Join us as we welcome The Dog Stop to the Village of Mamaroneck! We’re thrilled to announce that The Dog Stop® is now open! Our new go-to destination for premium dog daycare, overnight boarding, and professional dog grooming services!",2025-10-25,The Dog Stop,,adults,Mamaroneck Chamber of Commerce
5,5,M&T Bank Evening of Networking & Hot Topic Discussions,/events-calendar/mt-bank-evening-of-networking-hot-topic-discussions,M&T Bank and Young American Capital invite you to an evening of networking with fellow local business owners and a discussion on Economic Development. Please RSVP to Vivian Morales by October 15th vmorales@mtb.com,2025-10-22,Nonna Carola Ristorante,,adults,Mamaroneck Chamber of Commerce
6,6,Cigar and Bourbon Dinner,/events-calendar/cigar-and-bourbon-dinner,"Join us for an evening of fine dining., drinks, and smokes for $125 per person! Cigars from Doc James, a 3 course dinner at Barnstone Grill, and Bourbon tasting. Space is limited.",2025-10-21,Barnstone Grill,$125 per person,adults,Mamaroneck Chamber of Commerce
7,7,Spooktacular Parade and Party,/events-calendar/spooktacular-parade-and-party,"Greetings Mamaroneck Avenue Businesses, We are looking forward to supporting the Village of Mamaroneck’s Annual Spooktacular Parade Sunday October 19, 2025 11am-2pm. There is no rain date. In partnership with the Village of Mamaroneck, we want to inform you of the following: Authorities will close Mamaroneck Avenue and prohibit vehicle traffic from 10am-1pm on 10/19 A large volume of toddler to school-aged children and their parents will gather at 448 Mamaroneck Avenue (Smashburger) by 11am and parade to Harbor Island Participants will then have a “Spooky” good time with candy distribution, haunted house, chamber sponsored games, and music hosted by volunteers and Chamber members starting around 12:15pm until 2pm at Harbor Island. We encourage and invite you to get involved and here are some options: 1. Donate candy in any amount - feel free to label with your business and include coupons or promotional material to be distributed at Harbor Island. All donations can be dropped off to Pam at the Village of Mamaroneck Recreation Office or email us at info@mamaroneckchamberofcommerce.org to arrange for pick-up. 2. Sponsor a game/activity and have a representative host a table at Harbor Island. Please email us to confirm and we will share available games/activities and assign table placement. First come, first served! 3. Offer volunteers! We need all the help we can get for all activities at any time between 10am-3pm (set-up, parade/activities, breakdown/cleanup). Thank you for your support! Please also post the included flier in your store window. The Mamaroneck Chamber of Commerce Board",2025-10-19,Mamaroneck Ave to Harbor Island Park,,"kids, teens, adults",Mamaroneck Chamber of Commerce
0,0,In Our Backyard: The Local Impact of Immigration Crackdowns,https://forms.gle/UuMJ7o4rggXRh9Y19,"In recent months the federal government has ramped up efforts to arrest and deport immigrants around the country. Dozens of families from our own community have been directly impacted, and countless others–many of whom have spent years pursuing legal residency–fear being apprehended themselves. Jirandy Martinez, Executive Director and Bertha Rodriguez, Managing Attorney of Mamaroneck’s Community Resource Center will join us to share their stories, as well as Sabina Calle, Marriage and Family Therapist, Community Counseling Center.",2025-11-19T08:00:00,"Nautilus Diner1240 W Boston Post Rd, Mamaroneck, NY","$12, Bagel and Coffee Breakfast",adults,The Larchmont-Mamaroneck Local Summit
1,1,Monthly Program,https://www.localsummitlm.org/events.html,Our monthly programs are held in person at the Nautilus Diner. Meetings will begin at 8:00 am and run until 9:00 am. Topics and speakers will be posted closer to the meeting dates.,2025-12-09T08:00:00,Nautilus Diner,,adults,The Larchmont-Mamaroneck Local Summit
0,0,In the Warner Gallery: Varied Viewpoints: The Art of Violet Useda-Linder,https://www.mamaronecklibrary.org/events/in-the-warner-gallery-varied-viewpoints-the-art-of-violet-useda-linder/,In the Warner Gallery: Varied Viewpoints: The Art of Violet Useda-Linder,2025-11-19,Mamaroneck NY,,adults,Mamaroneck Public Library
1,1,Meditation with Jane (via Zoom),https://www.mamaronecklibrary.org/events/mindfulness-meditation-for-joy-harmony-health-with-jane-meryll/2025-11-20/,"Mindfulness Meditation for Joy, Harmony & Health with Jane Meryll. To register, please click here.",2025-11-20,Mamaroneck NY,,adults,Mamaroneck Public Library
2,2,Gentle Yoga,https://www.mamaronecklibrary.org/events/gentle-yoga-12/2025-11-20/,"Gentle Yoga. To Register, please click here.",2025-11-20,Mamaroneck NY,,adults,Mamaroneck Public Library
3,3,Pre-Ballet,https://www.mamaronecklibrary.org/events/pre-ballet/2025-11-20/,"Pre-Ballet. To register, please click here.",2025-11-20,Mamaroneck NY,,kids,Mamaroneck Public Library
4,4,Open Play! (for ages Toddler-K),https://www.mamaronecklibrary.org/events/open-play-for-ages-toddler-k/2025-11-20/,Open Play! (for ages Toddler-K),2025-11-20,Mamaroneck NY,,kids,Mamaroneck Public Library
5,5,Drop-In Craft,https://www.mamaronecklibrary.org/events/drop-in-craft/2025-11-21/,Drop-In Craft,2025-11-21,Mamaroneck NY,,kids,Mamaroneck Public Library
6,6,Tween Zone,https://www.mamaronecklibrary.org/events/tween-zone/2025-11-21/,Tween Zone,2025-11-21,Mamaroneck NY,,teens,Mamaroneck Public Library
7,7,Poetry as a Lens,https://www.mamaronecklibrary.org/events/poetry-as-a-lens/2025-11-21/,"Poetry as a Lens. To Register, please click here.",2025-11-21,Mamaroneck NY,,adults,Mamaroneck Public Library
8,8,CLOSED SUNDAYS,https://www.mamaronecklibrary.org/events/closed-sundays/2025-11-23/,CLOSED SUNDAYS,2025-11-23,Mamaroneck NY,,,Mamaroneck Public Library
9,9,Babytime with Beverley,https://www.mamaronecklibrary.org/events/babytime-with-beverley-3/2025-11-25/,Babytime with Beverley,2025-11-25,Mamaroneck NY,,kids,Mamaroneck Public Library
10,10,Quiet Study Room Time,https://www.mamaronecklibrary.org/events/quiet-study-room-time-2-2/2025-11-25/,Quiet Study Room Time,2025-11-25,Mamaroneck NY,,"adults, teens",Mamaroneck Public Library
11,11,CLOSED for Thanksgiving,https://www.mamaronecklibrary.org/events/closed-for-thanksgiving/2025-11-27/,CLOSED for Thanksgiving,2025-11-27,Mamaroneck NY,,,Mamaroneck Public Library
0,0,Upcoming School of Rock Mamaroneck Shows,https://www.schoolofrock.com/locations/mamaroneck/events,"See our talented students perform live at these upcoming School of Rock events and concerts in Mamaroneck. Includes Holiday Party, Holiday Ramble, Season Show Weekends, Best of Season Showcase, and International Summer Tour.",All Months,Mamaroneck,,"kids, teens, adults",School of Rock Mamaroneck
0,0,Navigating College Admissions,https://us02web.zoom.us/meeting/register/UXhdFPoGS_Wawrt6ki3Ugw,"Professionals from Stand Out for College will discuss current college admissions trends, the changing test-optional environment, how to identify “good fit” schools, as well as a timeline to make this fall productive and help reduce stress around college admissions.",2025-11-19T19:30:00,Online,,teens,Larchmont Public Library
1,1,Sensory Safari,https://larchmont.librarycalendar.com/event/sensory-safari-26785,Explore our sensory stations while practicing early literacy and fine motor skills. Ages 2-4 with a caregiver. No registration is required for this program. Just drop-in!,2025-11-20T10:00:00,"The Michael P. Coords Activity Room at Larchmont Public Library, 121 Larchmont Ave, Larchmont, NY 10538",,"children, preschool (3-4)",Larchmont Public Library
2,2,Time Traveler's Workshop: Lunar Landing,https://larchmont.librarycalendar.com/event/start-art-27787,"This imaginative workshop blends art, science, games, and storytelling into an adventure through time! Our second stop in time is the Apollo 11 mission. Build and test a lunar lander, create beautiful spacescape artwork, simulate a rocket launch, & more",2025-11-20T15:45:00,"The Michael P. Coords Activity Room at Larchmont Public Library, 121 Larchmont Ave, Larchmont, NY 10538",,"children, older school age (grades 3-5)",Larchmont Public Library
3,3,Little Story Writers,https://larchmont.librarycalendar.com/event/little-story-writers-29579,For Children in Grades 2-4 Does your child love telling stories and creating art? This program pairs children with Mamaroneck High School students to help them write & illustrate their own storybooks! Each book will take 3 sessions to create. Child must attend all sessions. Caregivers must stay in the library building for the duration of the program.,2025-11-20T17:15:00,"The Michael P. Coords Activity Room at Larchmont Public Library, 121 Larchmont Ave, Larchmont, NY 10538",,"2nd Grade, 3rd Grade, 4th Grade, Children, Kids",Larchmont Public Library
4,4,Financing Your Education,https://www.larchmontlibrary.org/events/financing-your-education,"Scott Ahrens, from the NYS Department of Financial Services, will cover topics including filling out the FAFSA, grants, scholarships, types of loans, determining the amount of aid you qualify for, and provide an overview of available New York State programs. Q & A will follow.",2025-11-20T18:30:00,"The Michael P. Coords Activity Room at Larchmont Public Library, 121 Larchmont Ave, Larchmont, NY 10538",,"adults, teens, 9th Grade and above",Larchmont Public Library
5,5,Exploring Our Colorful World with Chris McCormack on Zoom or Simulcast In Person,https://larchmont.librarycalendar.com/event/exploring-our-colorful-world-chris-mccormick-zoom-or-simulcast-person-25444,"Join us on a captivating journey through the vivid tapestry of our planet in ""Exploring Our Colorful World"", an immersive program that celebrates the diversity, flavor, and wonder of global cultures. Professional traveler Chris McCormack will transport audiences across continents, weaving together the threads of food, geography, people, and urban vibrance to paint a panoramic portrait of our shared human experience. Chris McCormack will NOT be at the library in person.",2025-11-20T19:00:00,"The Village Center (entrance at rear of Library) at Larchmont Public Library, 121 Larchmont Avenue, Larchmont, NY 10538",,adults,Larchmont Public Library
6,6,Block & Roll,https://larchmont.librarycalendar.com/event/block-roll-24010,"Meet and make toddler friends during this unstructured playtime full of blocks, balls, and stacking toys! Even a play kitchen. *This is a drop-in, self-guided program, please clean up when you are finished playing*. Caregiver must attend and be engaged with their child. Drop offs will not be permitted.",2025-11-21T10:00:00,"The Michael P. Coords Activity Room at Larchmont Public Library, 121 Larchmont Ave, Larchmont, NY 10538",,"children, babies, toddlers, kids",Larchmont Public Library
7,7,Chair Yoga with Vincenza Madonia,https://larchmont.librarycalendar.com/event/chair-yoga-vincenza-madonia-29154,"Join Certified Yoga Instructor Vincenza Madonia, for these six sessions of Chair Yoga. Chair Yoga consists of arm, leg and head movements, as well as twisting your torso, that are done while seated in a chair. There are also standing movements that use a chair for support. Please sign up if you want reminders or want to be on an email list for this program.",2025-11-21T10:00:00,"The Village Center (entrance at rear of Library) at Larchmont Public Library, 121 Larchmont Avenue, Larchmont, NY 10538",,adults,Larchmont Public Library
8,8,Yoga with Franklin Shire,https://larchmont.librarycalendar.com/event/yoga-franklin-shire-20002,"All levels welcome. Bring your own mat. Franklin Shire is a certified Kripalu Yoga Instructor, teaching in Westchester since 2007. His classes are gentle to moderate, a breath based meditative practice of patient self-awareness, leaving one feeling renewed, with a sense of stillness and focus. Donations are not required but are welcome. Registration is required for this event. Registration will close on December 26, 2025 @ 11:00am.",2025-11-21T11:30:00,"The Village Center (entrance at rear of Library) at Larchmont Public Library, 121 Larchmont Avenue, Larchmont, NY 10538",,adults,Larchmont Public Library
9,9,Cute Clay Cafe,https://larchmont.librarycalendar.com/event/tween-27796,Dive into the world of adorable art! Create very own cute food using air-dry clay! This workshop combines creativity and fun as you mold delightful miniature treats. Kids attend the program on their own. Caregivers must stay in the library building for the duration of the program. Kids 10 and older can be dropped off for this program.,2025-11-21T15:45:00,"The Michael P. Coords Activity Room at Larchmont Public Library, 121 Larchmont Ave, Larchmont, NY 10538",,"children, kids, Older School Age (Grades 3-5)",Larchmont Public Library
10,10,QiGONG with Steve Goldstein,https://larchmont.librarycalendar.com/event/qigong-steve-goldstein-19948,"Join certified QiGong teacher Steve Goldstein and learn about the ancient Chinese form of gentle exercise composed of movements that are repeated a number of times and can be performed by just about anyone. Participants are encouraged to wear comfortable clothing. Steve has trained with some of the leading experts in the fields of Energy Medicine, Reiki, Shamanism, Qigong, and Acupressure. Most recently he was an Earth Science teacher at Hommocks Middle School. Please sign up if you want reminders or want to be on an email list for this program.",2025-11-22T10:15:00,"The Village Center (entrance at rear of Library), Larchmont Public Library, 121 Larchmont Avenue, Larchmont, NY 10538",,Adults,Larchmont Public Library
11,11,Puzzle Swap!,https://larchmont.librarycalendar.com/event/puzzle-swap-29236,"Join the Library for a Puzzle Swap!Do you have a closet full of puzzles you’ve already completed? Would you like to pass those puzzles to someone who also enjoys doing puzzles and get new ones for yourself in return? The Swap is a great way for you to pick up some puzzles to work on during the holidays with friends and family! It’s simple! Bring any puzzles in good condition which you’d like to swap and leave them on the tables set up in the Village Center. When you drop off your puzzles, take a few puzzles home with you! Remember, this is a swap, not a donation drive. Stick around for a while to enjoy refreshments and work on a community puzzle. The remaining puzzles left at the end of the day will be donated to the Library’s circulating puzzle collection, New Jewish Home, Sarah Neuman in Mamaroneck and Puzzles-to-Remember, a non-profit organization that distributes puzzles to facilities that care for people with Alzheimer’s disease.",2025-11-22T13:00:00,"The Village Center (entrance at rear of Library) at Larchmont Public Library, 121 Larchmont Avenue, Larchmont, NY 10538",,adults,Larchmont Public Library
12,12,Saturday Afternoon Open Play Chess,https://larchmont.librarycalendar.com/event/saturday-afternoon-open-play-chess-22569,Join us for a Saturday afternoon game of chess. Chess pieces are provided.,2025-11-22T13:30:00,"Main Floor Conference Room at Larchmont Public Library, 121 Larchmont Ave, Larchmont, NY 10538",,adults,Larchmont Public Library
13,13,"""Intro to Percussion"" with Larchmont Music Academy",https://larchmont.librarycalendar.com/event/lma-program-30274,"Get ready to drum, shake, and tap along! Join the Larchmont Music Academy! faculty and students for an exciting introduction to percussion instruments from around the world. Children ages 4–8 will explore rhythm using drums like the djembe, conga, and more. Enjoy live demonstrations and a chance to make some music of your own in this fun, interactive class for Children Ages 4-8 & their caregivers",2025-11-22T14:30:00,"The Michael P. Coords Activity Room at Larchmont Public Library, 121 Larchmont Ave, Larchmont, NY 10538",,"4-8, preschool, younger school age, older school age",Larchmont Public Library
14,14,Historical Miniatures War Game,https://larchmont.librarycalendar.com/event/historical-miniatures-war-game-29212,"The Battle of Monmouth was fought in NJ on June 28, 1778. Pitting the Continental Army, led by General George Washington, against the British Army commanded by General Sir Henry Clinton, it was the last battle of the Philadelphia campaign, during which the British inflicted two major defeats on Washington and occupied Philadelphia. But Washington had spent the winter at Valley Forge, training and rebuilding his army. Will all the hardship and training pay off?",2025-11-23T14:00:00,"The Michael P. Coords Activity Room at Larchmont Public Library, 121 Larchmont Ave, Larchmont, NY 10538",,"teens, 6th Grade and above",Larchmont Public Library
15,15,Robert the Guitar Guy,https://larchmont.librarycalendar.com/event/robert-guitar-guy-21082,Come and experience the musical talent of Robert the Guitar Guy while you clap and dance along to the beat! AGES 0-3 with a caregiver. Caregiver Must Attend: This program is designed for children and their caregiver. Please plan to attend and be engaged with your child for this program. Drop offs will not be permitted. Drop-in Program: No registration is required for this program. Just drop-in!,2025-11-24T10:00:00,"The Village Center (entrance at rear of Library) at Larchmont Public Library, 121 Larchmont Ave, Larchmont, NY 10538",,"children, babies, toddlers, kids, 0-3",Larchmont Public Library
16,16,Open Play Mahjong and Canasta,https://larchmont.librarycalendar.com/event/open-play-mahjong-23399,"Come to the library to play Mahjong and/or Canasta! This is open game-play for players of all levels as long as you understand the basics of game play. The library has Mah Jongg sets and playing cards, but players are encouraged to bring their own. This is a drop in program. No registration required.",2025-11-24T12:00:00,"The Michael P. Coords Activity Room at Larchmont Public Library, 121 Larchmont Ave, Larchmont, NY 10538",,adults,Larchmont Public Library
17,17,Afternoon Stories & Craft,https://larchmont.librarycalendar.com/event/afternoon-stories-craft-27791,Join Linnea or Kristi for some fun stories and an accompanying craft. This program is designed for children and their caregiver. Please plan to attend and be engaged with your child for this program. Drop offs will not be permitted. Registration is required.,2025-11-24T15:45:00,"The Michael P. Coords Activity Room at Larchmont Public Library, 121 Larchmont Ave, Larchmont, NY 10538",,"children, kids, Preschool (3-4), Younger School Age (Grades K-2), age 3 to 7",Larchmont Public Library
18,18,Project Linus: Knitting and Crochet Group,https://larchmont.librarycalendar.com/event/project-linus-knitting-and-crochet-group-19586,"Come join our weekly knitting and crocheting group and help make security blankets for children who need a little comfort. We donate to Hospitals, Day Care Centers, Food Banks (such as L/M Food Pantry), and other places where there are children who need a little support. No registration required. Bring your own materials! If you have questions or wish to make a donation please contact Doris-Patt Smith at momdsmith1@yahoo.com",2025-11-25T10:00:00,"The Village Center (entrance at rear of Library) at Larchmont Public Library, 121 Larchmont Avenue, Larchmont, NY 10538",,adults,Larchmont Public Library
19,19,Baby Lapsit,https://larchmont.librarycalendar.com/event/baby-lapsit-27800,Bounce & Clap along! It's B.Y.O.B (Bring Your Own Baby)! *This is intended to be an interactive program between babies & their caregivers. Be prepared to have your baby in your lap!* For Infants 0-12 Months. This program is designed for children and their caregiver. Please plan to attend and be engaged with your child for this program. Drop offs will not be permitted.,2025-11-25T11:15:00,"The Michael P. Coords Activity Room at Larchmont Public Library, 121 Larchmont Ave, Larchmont, NY 10538",,"Babies (0-12 months), Children, 0-3 months, 9-12 months",Larchmont Public Library
20,20,BUTTER DANCE PARTY!,https://larchmont.librarycalendar.com/event/childrens-program-24066,Get ready to shake it off at our Butter Making Dance Extravaganza! You can take your butter home and use it on your Thanksgiving table. Registration is required for this event. This program is designed for children and their caregiver. Please plan to attend and be engaged with your child for this program. Drop offs will not be permitted.,2025-11-25T15:45:00,"The Michael P. Coords Activity Room at Larchmont Public Library, 121 Larchmont Ave, Larchmont, NY 10538",,"children, kids, Younger School Age (Grades K-2), Older School Age (Grades 3-5)",Larchmont Public Library
21,21,Spanish Conversations with María-Cristina Sánchez on Zoom,https://larchmont.librarycalendar.com/event/spanish-conversations-maria-cristina-sanchez-zoom-20263,"Join María-Cristina Sánchez and hone your Spanish skills. Ms Sánchez will propose discussion topics in Spanish for each session, providing participants with the opportunity to clarify pronunciation and meaning of words and expressions in an informal and relaxed environment. Participants should speak Spanish at an intermediate to advanced level and not be native speakers of Spanish. Ms. Sánchez is a native Spanish-speaker originally from Ecuador and has studied languages in Quito, Boston, Paris and Vienna. Registration is required once and then you will receive the Zoom link immediately and the day before each session.",2025-11-26T09:45:00,Online at Larchmont Public Library,,adults,Larchmont Public Library
22,22,Young & Restless - TICKET REQUIRED - NEW START TIME,https://larchmont.librarycalendar.com/event/young-restless-ticket-required-20949,"Explore the world of literacy with librarian Erin! She'll have themed songs, rhymes and books for your little ones to sing and clap to! AGES 0-3 *TICKET REQUIRED* tickets will be given out starting at 9:45am the day of the program *doors will close at 10:25am*. Caregivers must attend.",2025-11-26T10:15:00,"The Village Center (entrance at rear of Library) at Larchmont Public Library, 121 Larchmont Avenue, Larchmont, NY 10538",,"children, toddlers, kids, ages 0-3",Larchmont Public Library
